mean_test_score,std_test_score,rank_test_score,param_model__C
0.6480912183352734,0.02823793997438579,1,0.05
0.6332908243890722,0.014451436692394947,2,0.1
0.6036155820260952,0.01728120574554035,3,0.5
0.5987100960505216,0.022436901206280512,4,1.0
0.5932667752911808,0.02750328134291562,5,5.0
