mean_test_score,std_test_score,rank_test_score,param_model__C,param_model__gamma
0.6849095314364401,0.04869594454825786,1,0.5,0.01
0.6504259281950145,0.04304568820701801,2,0.5,scale
0.6451067792588443,0.04909269294852582,3,2.0,0.01
0.6438385005343704,0.057873952426196966,4,2.0,0.1
0.6398787382829937,0.054621823769453515,5,0.5,0.1
0.6337946836225936,0.044541230171947714,6,2.0,scale
0.6222000256731169,0.048174439882901,7,10.0,0.01
0.6054753635323097,0.06595168240583874,8,10.0,0.1
0.586392409217816,0.09976785090262402,9,10.0,scale
